#,Name,Discipline,COSPAR ID,SatCat #,Launch Mass,Dry Mass,On-board Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Semi-Major Axis,Period,Inclination,Longitude,Eccentricity,Epoch Start,Decay Date,Note
65.0,SRMSat,Earth Sciences Technology Applications,2011-058D,37841,10.9 kg (24 lb),,,"12 October 2011, 11:00:00 IST",PSLV-C18,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",855.8 km (531.8 mi),873.2 km (542.6 mi),"7,235 km (4,496 mi)",102.1 mins,20.0°,,,,,Nano-satellite developed by SRM Institute of Science and Technology
66.0,RISAT-1,Earth Sciences,2012-017A,38248,"1,858 kg (4,096 lb)",,2200 W,"26 April 2012, 5:47:00 IST",PSLV-C19,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",542.2 km (336.9 mi),550 km (340 mi),"6,917 km (4,298 mi)",95.4 mins,97.6°,,,,,"RISAT-1 is India's first indigenous all-weather Radar Imaging Satellite, whose images will facilitate agriculture and disaster management"
67.0,GSAT-10,Communications,2012-051B,38779,"3,400 kg (7,500 lb)","1,498 kg (3,303 lb)",6474 W,"28 September 2012, 2:48:00 IST",Ariane-5 VA-209,"Centre Spatial Guyanais, Kourou","35,783.3 km (22,234.7 mi)","35,805.4 km (22,248.4 mi)","42,165 km (26,200 mi)",1436.1 mins,0.1°,83° E,,,,"GSAT-10, India's advanced communication satellite, is a high power satellite being inducted into the INSAT system"
68.0,SARAL,Earth Sciences,2013-009A,39086,407 kg (897 lb),,906 W,"25 February 2013, 18:01:00 IST",PSLV-C20,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",791.8 km (492.0 mi),792.6 km (492.5 mi),"7,163 km (4,451 mi)",100.6 mins,98.5°,,,,,The Satellite with ARGOS and ALTIKA (SARAL) is a joint Indo-French satellite mission for oceanographic studies
69.0,IRNSS-1A,Navigation/Global Positioning,2013-034A,39199,"1,425 kg (3,142 lb)","614 kg (1,354 lb)",1660 W,"1 July 2013, 23:41:00 IST",PSLV-C22,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,720.2 km (22,195.5 mi)","35,864.3 km (22,285.0 mi)","42,163 km (26,199 mi)",1436.0 mins,28.8°,55.0° E,,,,IRNSS-1A is the first of seven satellite in the IRNSS navigational system
70.0,INSAT-3D,Earth Sciences,2013-038B,39216,"2,060 kg (4,540 lb)",,1164 W,"26 July 2013, 1:23:00 IST",Ariane-5 ECA VA-214,"Centre Spatial Guyanais, Kourou","35,794 km (22,241 mi)","35,795.3 km (22,242.2 mi)","42,165 km (26,200 mi)",1436.1 mins,0.0°,82.0° E,,,,"INSAT-3D is the meteorological Satellite with advanced weather monitoring payloads (6-channel multi-spectral imager, 19-channel sounder, data relay transponder and search-and-rescue transponder)"
71.0,GSAT-7(INSAT-4F),Communications,2013-044B,39234,"2,650 kg (5,840 lb)",,3000 W,"30 August 2013, 2:00:00 IST",Ariane-5 ECA VA-215,"Centre Spatial Guyanais, Kourou","35,789.8 km (22,238.8 mi)","35,798.1 km (22,243.9 mi)","42,164 km (26,199 mi)",1436.1 mins,0.0°,74.0° E,,,,GSAT-7 is the advanced multi-band communication satellite dedicated for military use. It is currently being exclusively by the navy
72.0,Mars Orbiter Mission (MOM) (Mangalyaan-1),Planetary Science,2013-060A,39370,"1,340 kg (2,950 lb)","488 kg (1,076 lb)",840 W,"5 November 2013, 14:38:00 IST",PSLV-C25,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",~ 366 km (227 mi)§,"~ 80,000 km (50,000 mi)§",,4602 mins§,150°§,,,,,"The Mars Orbiter Mission (MOM), informally called Mangalyaan is India's first Mars orbiter"
73.0,GSAT-14,Communications,2014-001A,39498,"1,982 kg (4,370 lb)",,2600 W,"5 January 2014, 16:18:00 IST",GSLV Mk.II-D5,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,774.5 km (22,229.2 mi)","35,813.6 km (22,253.5 mi)","42,165 km (26,200 mi)",1436.1 mins,0.0°,74.0° E,,,,"GSAT-14 is the twenty third geostationary communication satellite of India. It is intended to replace GSAT-3, and to augment the In-orbit capacity of Extended C and Ku-band transponders"
74.0,IRNSS-1B,Navigation/Global Positioning,2014-017A,39635,"1,432 kg (3,157 lb)",,1660 W,"4 April 2014, 17:14:00 IST",PSLV-C24,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,700.5 km (22,183.3 mi)","35,883.1 km (22,296.7 mi)","42,162 km (26,198 mi)",1436.0 mins,29.1°,55.0° E,,,,IRNSS-1B is the second of seven satellite in the IRNSS system
75.0,IRNSS-1C,Navigation/Global Positioning,2014-061A,40269,"1,425.4 kg (3,142 lb)",,1660 W,16 October 2014,PSLV-C26,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,715.5 km (22,192.6 mi)","35,872.6 km (22,290.2 mi)","42,165 km (26,200 mi)",1436.1 mins,3°,83° E,,,,IRNSS-1C is the third satellite in the Indian Regional Navigation Satellite System (IRNSS)
76.0,GSAT-16,Communications,2014-078A,40332,"3,181.6 kg (7,014 lb)",,6000 W,"7 December 2014, 2:10:00 IST",Ariane-5,"Centre Spatial Guyanais, Kourou","35,762.5 km (22,221.8 mi)","35,824.7 km (22,260.4 mi)","42,164 km (26,199 mi)",1436.1 mins,0.1°,55.0° E,,,,"GSAT-16 is the twenty fourth communication satellite of India configured to carry a total of 48 transponders (12 Ku, 24 C and 12 Cue, each with a bandwidth of 36 MHz), which was the highest number of transponders in a single satellite at that time"
77.0,IRNSS-1D,Navigation/Global Positioning,2015-018A,40547,"1,425 kg (3,142 lb)","603 kg (1,329 lb)",1660 W,"28 March 2015, 17:19:00 IST",PSLV-C27,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,704.7 km (22,185.9 mi)","35,885.0 km (22,297.9 mi)","42,165 km (26,200 mi)",1436.2 mins,29.1°,112° E,,,,IRNSS-1D is the fourth satellite in the Indian Regional Navigation Satellite System (IRNSS)
78.0,GSAT-6(INSAT-4E),Communications,2015-041A,40880,"2,117 kg (4,667 lb)","985 kg (2,172 lb)",3100 W,"27 August 2015, 16:52:00 IST",GSLV Mk.II-D6,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,769.6 km (22,226.2 mi)","35,818.4 km (22,256.5 mi)","42,164 km (26,199 mi)",1436.1 mins,0.0°,83° E,,,,"GSAT-6 is a communication satellite. GSAT- 6 features an unfurlable antenna, largest on board any satellite. Launch of GSLV-D6 also marks the success of indigenously developed upper stage cryogenic engine"
79.0,Astrosat,Space Sciences,2015-052A,40930,"1,513 kg (3,336 lb)",,,28 September 2015,PSLV-C30,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",642.5 km (399.2 mi),655 km (407 mi),"7,019 km (4,361 mi)",97.6 mins,6.0°,,,,,ASTROSAT is India's first dedicated multi wavelength space observatory
80.0,GSAT-15,Communications,2015-065A,41028,"3,164 kg (6,975 lb)","1,440 kg (3,170 lb)",6200 W,"11 November 2015, 3:04:00 IST",Ariane 5 VA-227,"Centre Spatial Guyanais, Kourou","35,785.66 km (22,236.18 mi)","35,802.6 km (22,246.7 mi)","42,165 km (26,200 mi)",1436.1 mins,0.1°,93.5° E,,,,"Communications satellite, carries communication transponders in Ku-band and a GPS Aided GEO Augmented Navigation (GAGAN) payload operating in L1 and L5 bands. Weight 3164 kg"
81.0,IRNSS-1E,Navigation/Global Positioning,2016-003A,41241,"1,425 kg (3,142 lb)","598 kg (1,318 lb)",1660 W,"20 January 2016, 9:31:00 IST",PSLV-C31,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,709.6 km (22,188.9 mi)","35,875.2 km (22,291.8 mi)","42,163 km (26,199 mi)",1436.0 mins,28.8°,111.75° E,,,,IRNSS-1E is the fifth satellite in the Indian Regional Navigation Satellite System (IRNSS)
82.0,IRNSS-1F,Navigation/Global Positioning,2016-015A,41384,"1,425 kg (3,142 lb)","598 kg (1,318 lb)",1660 W,"10 March 2016, 16:01:00 IST",PSLV-C32,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,700.8 km (22,183.4 mi)","35,889.2 km (22,300.5 mi)","42,166 km (26,201 mi)",1436.2 mins,4.1°,32.5° E,,,,IRNSS-1F is the sixth satellite in the Indian Regional Navigation Satellite System (IRNSS)
83.0,IRNSS-1G,Navigation/Global Positioning,2016-027A,41469,"1,425 kg (3,142 lb)","598 kg (1,318 lb)",1660 W,"28 April 2016, 12:59 IST",PSLV-C33,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,778.6 km (22,231.8 mi)","35,808.7 km (22,250.5 mi)","42,164 km (26,199 mi)",1436.1 mins,4.2°,129° E,,,,IRNSS-1G is the seventh and final satellite in the Indian Regional Navigation Satellite System (IRNSS)
84.0,Cartosat-2C,Earth Sciences,2016-040A,41599,"737.5 kg (1,626 lb)",,986 W,"22 June 2016, 9:26:00 IST",PSLV-C34,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",504.7 km (313.6 mi),526.1 km (326.9 mi),"6,886 km (4,279 mi)",94.8 mins,97.5°,,,,,"Earth observation/remote sensing satellite. Identical to CARTOSAT-2,2A and 2B"
85.0,SathyabamaSat,Technology Applications,2016-040B,41600,1.5 kg (3.3 lb),,,"22 June 2016, 9:26:00 IST",PSLV-C34,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",499.2 km (310.2 mi),521.8 km (324.2 mi),"6,881 km (4,276 mi)",94.7 mins,97.5°,,,,,"A micro-satellite designed and built by the students of Sathyabama University, Chennai, India. This satellite collect data on green house gases in the LEO atmosphere"
86.0,Swayam-1,Communications Technology Applications,2016-040J,41607,1 kg (2.2 lb),,,"22 June 2016, 9:26:00 IST",PSLV-C34,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",499.7 km (310.5 mi),521.5 km (324.0 mi),"6,881 km (4,276 mi)",94.7 mins,97.5°,,,,,"A 1-U pico-satellite designed and built by the students of College of Engineering, Pune. This satellite provides point-to-point communications for the HAM community. A second version of the satellite is now being planned"
87.0,INSAT-3DR,Earth Sciences,2016-054A,41752,"2,211 kg (4,874 lb)","956 kg (2,108 lb)",1700 W,"8 September 2016, 16:40:00 IST",GSLV-F05,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,767.2 km (22,224.7 mi)","35,820.6 km (22,257.9 mi)","42,164 km (26,199 mi)",1436.1 mins,0.0°,74.0° E,,,,An advanced meteorological satellite of India configured with an imaging System and an Atmospheric Sounder
88.0,Pratham,Technology Applications,2016-059A,41783,10 kg (22 lb),,,"26 September 2016, 9:12:00 IST",PSLV-C35,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",666.8 km (414.3 mi),715.6 km (444.7 mi),"7,062 km (4,388 mi)",98.4 mins,98.2°,,,,,"A mini-satellite build by students and researchers at IIT, Mumbai to study electrical characteristics of the earth's atmosphere"
89.0,PISat,Technology Applications,2016-059B,41784,5.25 kg (11.6 lb),,,"26 September 2016, 9:12:00 IST",PSLV-C35,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",666.6 km (414.2 mi),713.2 km (443.2 mi),"7,060 km (4,390 mi)",98.4 mins,98.2°,,,,,"A micro-satellite designed and built by the students of PES Institute of Technology, Bengaluru at their Crucible of Research and Innovation Laboratory (CRIL) to develop remote sensing applications"
90.0,ScatSat-1,Earth Sciences,2016-059H,41790,377 kg (831 lb),110 kg (240 lb),,"26 September 2016, 9:12:00 IST",PSLV-C35,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",723.6 km (449.6 mi),741.2 km (460.6 mi),"7,103 km (4,414 mi)",99.3 mins,98.1°,,,,,"Miniature satellite to provide weather forecasting, cyclone prediction, and tracking services to India"
91.0,GSAT-18,Communications,2016-060A,41793,"3,425 kg (7,551 lb)","1,480 kg (3,260 lb)",6474 W,"6 October 2016, 2:00:00 IST",Ariane-5 ECA,"Centre Spatial Guyanais, Kourou","35,760.2 km (22,220.4 mi)","35,827.7 km (22,262.3 mi)","42,164 km (26,199 mi)",1436.1 mins,0.1°,74.0° E,,,,"At 3.4 tons, this was the heaviest satellite owned/being operated by India at the time of its launch"
92.0,ResourceSat-2A,Earth Sciences,2016-074A,41877,"1,235 kg (2,723 lb)",,,"7 December 2016, 10:24:00 IST",PSLV-C36,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",826.3 km (513.4 mi),827.6 km (514.2 mi),"7,197 km (4,472 mi)",101.3 mins,98.7°,,,,,Its mission is identical to its predecessors (Resourcesat-1 and Resourcesat-2)
93.0,CartoSat-2D,Earth Sciences,2017-008A,41948,"714 kg (1,574 lb)",,,"15 February 2017, 9:28:00 IST",PSLV-C37,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",510.9 km (317.5 mi),519.9 km (323.1 mi),"6,886 km (4,279 mi)",94.8 mins,97.5°,,,,,"ISRO holds the world record for launching the highest number of satellites by a single launch vehicle (104 satellites, including the CartoSat-2D and 2 indigenously designed nano-satellites, INS-1A and INS-1B)"
94.0,INS-1A(ISRO Nano-Satellite 1A),Technology Applications,2017-008B,41949,8.4 kg (19 lb),,,"15 February 2017, 9:28:00 IST",PSLV-C37,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",500.8 km (311.2 mi),515.4 km (320.3 mi),"6,879 km (4,274 mi)",94.6 mins,97.5°,,,,,"This is one of 2 nano-satellites designed and manufactured by ISRO, are part of the constellation of 104 satellites launched in a single go"
95.0,INS-1B(ISRO Nano-Satellite 1B),Technology Applications,2017-008G,41954,9.7 kg (21 lb),,,"15 February 2017, 9:28:00 IST",PSLV-C37,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",500.7 km (311.1 mi),514.8 km (319.9 mi),"6,878 km (4,274 mi)",94.6 mins,97.5°,,,,,"This is one of 2 nano-satellites designed and manufactured by ISRO, are part of the constellation of 104 satellites launched in a single go"
96.0,South Asia Satellite (GSAT-9),Communications,2017-024A,42695,"2,230 kg (4,920 lb)","976 kg (2,152 lb)",3500 W,"5 May 2017, 16:57:00 IST",GSLV Mk.II,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,782.2 km (22,234.0 mi)","35,805.8 km (22,248.7 mi)","42,165 km (26,200 mi)",1436.1 mins,0.1°,97.5° E,,,,"This satellite is being offered by India as a diplomatic initiative to its neighboring countries (SAARC region) for communication, remote sensing, resource mapping and disaster management applications"
97.0,GSAT-19(GSAT-19E),Communications,2017-031A,42747,"3,136 kg (6,914 lb)","1,394 kg (3,073 lb)",4500 W,"5 June 2017, 5:28:00 IST",GSLV Mk.III-D1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,781.1 km (22,233.3 mi)","35,806.7 km (22,249.3 mi)","42,164 km (26,199 mi)",1436.1 mins,0.1°,82.5° E,,,,Maiden orbital flight of GSLV Mk.III. This is the heaviest rocket (and the heaviest satellite) to be launched by ISRO from Indian soil
98.0,NIUSat,Technology Applications,2017-036B,42766,15 kg (33 lb),,40 W,"23 June 2017, 9:29:00 IST",PSLV-C38,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",502.5 km (312.2 mi),526.7 km (327.3 mi),"6,885 km (4,278 mi)",94.8 mins,97.4°,,,,,"This is a satellite designed for remote sensing applications, and built by the students of Noorul Islam University, Kanyakumari"
99.0,CartoSat-2E,Earth Sciences,2017-036C,42767,"712 kg (1,570 lb)",,986 W,"23 June 2017, 9:29:00 IST",PSLV-C38,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",508.4 km (315.9 mi),522.2 km (324.5 mi),"6,886 km (4,279 mi)",94.8 mins,97.4°,,,,,This is the 7th satellite in the Cartosat series to be built by ISRO
100.0,GSAT-17,Communications,2017-040B,42815,"3,477 kg (7,665 lb)","1,480 kg (3,260 lb)",6200 W,"29 June 2017, 2:45:00 IST",Ariane-5 ECA,"Centre Spatial Guyanais, Kourou","35,771 km (22,227 mi)","35,817 km (22,256 mi)","42,164 km (26,199 mi)",1436.1 mins,0.1°,93.5° E,,,,"This is India's 18th communication (and to date, its heaviest) satellite"
101.0,IRNSS-1H,Navigation/Global Positioning,,,"1,425 kg (3,142 lb)","598 kg (1,318 lb)",,2 September 2017,PSLV-C39,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,First satellite to be co-designed and built with private sector assistance. Failed to reach orbit
102.0,CartoSat-2F,Earth Sciences,2018-004A,43111,"710 kg (1,570 lb)",,,"12 January 2018, 9:29:00 IST",PSLV-C40,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,"ISRO sent 32 satellites, including 3 indigenous ones – CartoSat-2F (the 6th satellite in the Cartosat series to be built by ISRO), MicroSat-TD and INS-1C, on this mission"
103.0,MicroSat-TD,Technology Applications,2018-004T,43128,132 kg (291 lb),,,"12 January 2018, 9:29:00 IST",PSLV-C40,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,"This is a technology demonstrator, and the forerunner for future satellites in this series. The satellite bus is modular in design and can be fabricated and tested independently of payload"
104.0,INS-1C(ISRO Nano-Satellite 1C),Technology Applications,TBA,TBA,11 kg (24 lb),,,"12 January 2018, 9:29:00 IST",PSLV-C40,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,"INS-1C, the third satellite in the Indian Nanosatellite series, will be carrying a Miniature Multispectral Technology Demonstration (MMX-TD) Payload from Space Applications Centre (SAC). Data sent by this camera can be utilised for topographical mapping, vegetation monitoring, aerosol scattering studies and cloud studies"
105.0,GSAT-6A,Communications,2018-027A,,"2,117 kg (4,667 lb)",,3119 W,"29 March 2018, 16:56:00 IST",GSLV-F08,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,"Similar to GSAT-6 it is a high power S-band communication satellite configured around I-2K bus. The satellite will also provide a platform for developing technologies such as demonstration of 6 m S-Band Unfurlable Antenna, handheld ground terminals and network management techniques that could be useful in satellite based mobile communication applications. Communication was lost with satellite before final orbit raising maneuver."
106.0,IRNSS-1I,Navigation/Global Positioning,2018-035A,43286,"1,425 kilograms (3,142 lb)","600 kilograms (1,300 lb)",1671 W,"12 April 2018, 04:04:00",PSLV-C41,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,1450.9 minutes,29 degrees,55°E,,,,Eighth satellite of IRNSS
107.0,GSAT-29,High-throughput Communication Satellite,2018-089A,43698,"3,423 kg (7,546 lb)",,,"1 November 2018, 11:38",GSLV Mk III D2,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,13 hours,8.9 degrees,,,,,
108.0,HySIS,Hyperspectral imaging satellite,2018-096A,43719,380 kg (840 lb),,,"29 November 2018, 04:27:30 UTC",PSLV-C43,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",633.3 km (393.5 mi),648.1 km (402.7 mi),711 km (442 mi),97 minutes 26 seconds,97.95 degrees,,,,,"Hyperspectral imgaing services for agriculture, forestry, resource mapping, geographical assessment and military applications."
109.0,ExseedSat-1,Communications technology demonstrator,2018-099,,1 kg (2.2 lb),,1 W,"3 December 2018, 18:34:05 UTC",SpaceX Falcon 9,"Vandenberg Air Force Base, California, USA",,,,,,,,,,India's first privately funded & built satellite
110.0,GSAT-11,Communications satellite,2018-100B,43824,"5,854 kg (12,906 lb)",,13.6 kW,"5 December 2018, 18:16 UTC",Ariane 5-VA246,"Centre Spatial Guyanais, Kourou","35,767.8 km (22,225.1 mi)","35,820.1 km (22,257.6 mi)","42,164 km (26,199 mi)","1,436.1 minutes",0.0 degrees,74°E,,,,Heaviest Indian spacecraft in orbit till date.
111.0,GSAT-7A,Military satellite,2018-105A,43864,"2,250 kg (4,960 lb)",,3.3 kW,"19 December 2018, 1040 UTC",GSLV Mk.II-F11,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh","35,786.6 km (22,236.8 mi)","35,799.4 km (22,244.7 mi)","42,164 km (26,199 mi)","1,436.1 minutes",0.1 degrees,63°E,,,,Services for Indian Air Force and Indian Army.
112.0,Microsat-R,Earth imaging for defense applications (details classified),2019-006A,43947,"741.2 kg (1,634 lb)",,,"23 January 2019, 19:37 IST",PSLV-C44,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,"March 27, 2019",Suspected to have been destroyed in 2019 Indian anti-satellite missile test.
113.0,PS4 Stage attached with KalamSAT-V2,Student satellite,,,1.26 kg (2.8 lb),,,"23 January 2019, 19:37 IST",PSLV-C44,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,Used PSLV's 4th stage as orbital platform.
114.0,GSAT-31,High-throughput Telecommunication Satellite,2019-007B,44035,"2,536 kg (5,591 lb)",,4.7 kW,"6 February 2019, 02:31 IST",Ariane 5-VCA,"Centre Spatial Guyanais, Kourou","35,775.7 km (22,230.0 mi)","35,812.3 km (22,252.7 mi)","42,164 km (26,199 mi)","1,436.1 minutes",0.1 degrees,48°E,,,,Replacement of the aging INSAT-4CR.
115.0,EMISAT,Reconnaissance of electromagnetic spectrum (ELINT),2019-018A,44078,436 kg (961 lb),,800 W,"1 April 2019, 09:27 IST",PSLV-C45,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",739.3 km (459.4 mi),767.6 km (477.0 mi),"7,124 km (4,427 mi)",99.7 minutes,98.376 degrees,,,,,Electromagnetic intelligence to track any enemy radars for Indian Armed Forces.
116.0,"PS4 Stage attached with ExseedSat-2, AMSAT, ARIS and AIS payloads","Amateur radio applications, Ionospheric studies and Maritime Satellite applications respectively.",,,,,,"1 April 2019, 09:27 IST",PSLV-C45,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,485 km (301 mi),,,,,,,,Utilization of fourth stage directly as a satellite for experiments.
117.0,RISAT-2B,Disaster management Radar imaging,2019-028A,44233,"615 kg (1,356 lb)",,,"22 May 2019, 5:30:00 IST",PSLV-CA C46,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",558.4 km (347.0 mi),563.5 km (350.1 mi),"6,931 km (4,307 mi)",95.7 minutes,37.0 degrees,,,,,Successor to old RISAT-2.
118.0,Orbiter of Chandrayaan-2,Lunar exploration,2019-042A,44441,"2,379 kg (5,245 lb) (Orbiter only)","682 kg (1,504 lb)",1 kW,"22 July 2019, 14:43:12 IST (09:13:12 UTC)",GSLV Mk III M01,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",100 km (62 mi),100 km (62 mi),,,90 degrees,,,"20 August 2019, 09:02 IST (03:32 UTC)",,"India's second lunar exploration mission. Orbital insertion successful, soft landing failed. First operational flight of GSLV Mk III."
119.0,Cartosat-3,Earth observation,2019-081A,44804,"1,625 kg (3,583 lb)",,2000W,"27 November 2019, 9:28:00 IST",PSLV-XL C47,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",507.2 km (315.2 mi),526.6 km (327.2 mi),"6,887 km (4,279 mi)",94.8 minutes,97.5 degrees,,,,,13 American nano-satellites to be piggybacked along. Cartosat-3 is among optical satellites with highest resolutions in world.
120.0,RISAT-2BR1,Radar imaging,2019-089F,44857,"628 kg (1,385 lb)",,,11 December 2019 09:55 UTC,PSLV-QL C48,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",576 km (358 mi),576 km (358 mi),,,37 degree,,,,,Has an improved resolution of 0.35 meters.
121,GSAT-30,Communications,2020-005A,45026,"3,357 kg (7,401 lb)",,6000 W,"16 January 2020, 21:05 UTC",Ariane 5 ECA VA-251,"Centre Spatial Guyanais, Kourou","35,779.1 km (22,232.1 mi)","35,808.5 km (22,250.4 mi)","42,164 km (26,199 mi)",1436.1 minutes,0.1 degrees,83°E,,,,Replacement of INSAT-4A
TBD,GISAT-1,Earth observation,TBD,TBD,"2,268 kg (5,000 lb)",,2280 W,2020 (Planned),GSLV Mk II F10,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",,,,,,,,,,India's first geostationary earth imaging satellite.
